ORDER_ID	ORDER_DATE	ORDER_MODE	CUSTOMER_ID	ORDER_STATUS	ORDER_TOTAL	SALES_REP_ID	PROMOTION_ID
2458	34:12.2	direct	101	0	78279.6	153	
2397	41:54.7	direct	102	1	42283.2	154	
2454	49:34.7	direct	103	1	6653.4	154	
2354	18:23.2	direct	104	0	46257	155	
2358	03:12.7	direct	105	2	7826	155	
2440	53:06.0	direct	107	3	70576.9	156	
2357	19:44.1	direct	108	5	59872.4	158	
2394	22:35.6	direct	109	5	21863	158	
2435	22:53.1	direct	144	6	62303	159	
2455	34:11.5	direct	145	7	14087.5	160	
2379	22:24.2	direct	146	8	17848.2	161	
2396	34:56.3	direct	147	8	34930	161	
2406	41:20.1	direct	148	8	2854.2	161	
2434	49:30.6	direct	149	8	268651.8	161	
2436	18:04.4	direct	116	8	6394.8	161	
2446	03:08.3	direct	117	8	103679.3	161	
2447	59:10.2	direct	101	8	33893.6	161	
2432	53:40.2	direct	102	10	10523	163	
2433	19:00.7	direct	103	10	78	163	
2355	22:52.0	online	104	8	94513.5		
2356	22:41.9	online	105	5	29473.8		
2359	34:13.1	online	106	9	5543.1		
2360	22:31.2	online	107	4	990.4		
2361	34:22.0	online	108	8	120131.3		
2362	41:10.6	online	109	4	92829.4		
2363	49:56.3	online	144	0	10082.3		
2364	18:45.9	online	145	4	9500		
2365	03:34.0	online	146	9	27455.3		
2366	59:23.1	online	147	5	37319.4		
2367	53:32.3	online	148	10	144054.8		
2368	19:43.2	online	149	10	60065		
2369	22:54.0	online	116	0	11097.4		
2370	22:11.6	online	117	4	126		
2371	34:56.1	online	118	6	79405.6		
2372	22:33.4	online	119	9	16447.2		
2373	34:51.2	online	120	4	416		
2374	41:45.1	online	121	0	4797		
2375	49:50.5	online	122	2	103834.4		
2376	18:08.9	online	123	6	11006.2		
2377	03:01.0	online	141	5	38017.8		
2378	59:10.0	online	142	5	25691.3		
2380	53:02.9	online	143	3	27132.6		
2382	19:03.8	online	144	8	71173		
2383	22:30.5	online	145	8	36374.7		
2384	22:34.5	online	146	3	29249.1		
2385	34:11.3	online	147	4	295892		
2386	22:34.2	online	148	10	21116.9		
2387	34:56.5	online	149	5	52758.9		
2388	41:12.6	online	150	4	282694.3		
2389	49:43.5	online	151	4	17620		
2390	18:50.5	online	152	9	7616.8		
2391	03:03.8	direct	153	2	48070.6	156	
2392	59:57.6	direct	154	9	26632	161	
2393	53:19.5	direct	155	4	23431.9	161	
2395	19:11.2	direct	156	3	68501	163	
2398	22:53.2	direct	157	9	7110.3	163	
2399	22:38.3	direct	158	0	25270.3	161	
2400	34:29.6	direct	159	2	69286.4	161	
2401	22:53.6	direct	160	3	969.2	163	
2402	34:44.7	direct	161	8	600	154	
2403	49:13.6	direct	162	0	220	154	
2404	49:13.7	direct	163	6	510	158	
2405	49:13.7	direct	164	5	1233	159	
2407	03:21.5	direct	165	9	2519	155	
2408	59:31.3	direct	166	1	309	158	
2409	53:42.0	direct	167	2	48	154	
2410	19:52.0	direct	168	6	45175	156	
2411	22:10.5	direct	169	8	15760.5	156	
2412	22:09.5	direct	170	9	66816	158	
2413	34:04.5	direct	101	5	48552	161	
2414	22:40.5	direct	102	8	10794.6	153	
2415	34:50.5	direct	103	6	310	161	
2416	41:20.9	direct	104	6	384	160	
2417	49:11.0	direct	105	5	1926.6	163	
2418	18:21.9	direct	106	4	5546.6	163	
2419	03:32.8	direct	107	3	31574	160	
2420	59:43.7	direct	108	2	29750	160	
2421	53:54.6	direct	109	1	72836		
2422	19:55.5	direct	144	2	11188.5	153	
2423	22:33.4	direct	145	3	10367.7	160	
2424	22:33.3	direct	146	4	13824	153	
2425	34:22.2	direct	147	5	1500.8	163	
2426	22:11.3	direct	148	6	7200		
2427	34:22.4	direct	149	7	9055	163	
2428	41:34.5	direct	116	8	14685.8		
2429	49:25.5	direct	117	9	50125	154	
2430	18:36.7	direct	101	8	29669.9	159	
2431	03:04.8	direct	102	1	5610.6	163	
2437	59:15.8	direct	103	4	13550	163	
2438	53:26.9	direct	104	0	5451	154	
2439	19:37.8	direct	105	1	22150.1	159	
2441	22:48.7	direct	106	5	2075.2	160	
2442	22:59.7	direct	107	9	52471.9	154	
2443	34:16.6	direct	108	0	3646	154	
2444	22:27.5	direct	109	1	77727.2	155	
2445	34:38.4	direct	144	8	5537.8	158	
2448	41:49.3	direct	145	5	1388	158	
2449	49:07.2	direct	146	6	86	155	
2450	18:10.4	direct	147	3	1636	159	
2451	03:52.6	direct	148	7	10474.6	154	
2452	59:43.5	direct	149	5	12589	159	
2453	53:34.4	direct	116	0	129	153	
2456	53:26.0	direct	117	0	3878.4	163	
2457	22:16.2	direct	118	5	21586.2	159	
2666	40:12.2	online	105	0	78298.6	198	
2667	42:12.2	online	131	0	79298.6	128	
